"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3978","test_accordion_questions[4]","tests","Mon May 19 17:54:52 MSK 2025","passed","Mon May 19 17:54:56 MSK 2025","","test_accordion","",""
"","7988","test_positive_order_flow[\u0422\u0435\u0441\u0442-\u0422\u0435\u0441\u0442\u043e\u0432-\u0422\u0435\u0441\u0442, \u0443\u043b. \u0422\u0435\u0441\u0442\u043e\u0432\u0430\u044f, \u0434.9-89994815162-\u041a\u043e\u0442 \u0434\u043e\u043c\u043e\u0444\u043e\u043d\u0430]","tests","Mon May 19 17:56:45 MSK 2025","passed","Mon May 19 17:56:53 MSK 2025","","test_order","",""
"","4159","test_accordion_questions[2]","tests","Mon May 19 17:54:23 MSK 2025","passed","Mon May 19 17:54:27 MSK 2025","","test_accordion","",""
"","4038","test_accordion_questions[3]","tests","Mon May 19 17:54:38 MSK 2025","passed","Mon May 19 17:54:42 MSK 2025","","test_accordion","",""
"","4247","test_order_button_opens_form[//button[contains(@class, 'Button_Button__ra12g')][1]]","tests","Mon May 19 17:56:17 MSK 2025","passed","Mon May 19 17:56:21 MSK 2025","","test_order","",""
"","4153","test_accordion_questions[0]","tests","Mon May 19 17:53:55 MSK 2025","passed","Mon May 19 17:53:59 MSK 2025","","test_accordion","",""
"","7853","test_positive_order_flow[\u0422\u0435\u0441\u0442\u0430-\u0422\u0435\u0441\u0442\u043e\u0432\u0430-\u0422\u0435\u0441\u0442, \u0422\u0435\u0441\u0442\u043e\u0432\u044b\u0439 9-88884815162-\u041a\u043e\u0442 \u0434\u043e\u043c\u043e\u0444\u043e\u043d\u0430]","tests","Mon May 19 17:57:03 MSK 2025","passed","Mon May 19 17:57:11 MSK 2025","","test_order","",""
"","4263","test_accordion_questions[7]","tests","Mon May 19 17:55:34 MSK 2025","passed","Mon May 19 17:55:39 MSK 2025","","test_accordion","",""
"","4209","test_click_yandex_logo_redirects_to_dzen","tests","Mon May 19 17:56:02 MSK 2025","passed","Mon May 19 17:56:07 MSK 2025","","test_logos","",""
"","3893","test_accordion_questions[6]","tests","Mon May 19 17:55:20 MSK 2025","passed","Mon May 19 17:55:24 MSK 2025","","test_accordion","",""
"","3708","test_accordion_questions[1]","tests","Mon May 19 17:54:10 MSK 2025","passed","Mon May 19 17:54:13 MSK 2025","","test_accordion","",""
"","3889","test_order_button_opens_form[//div[contains(@class, 'Home_FinishButton')]/button]","tests","Mon May 19 17:56:31 MSK 2025","passed","Mon May 19 17:56:35 MSK 2025","","test_order","",""
"","4009","test_click_scooter_logo_returns_to_main","tests","Mon May 19 17:55:49 MSK 2025","passed","Mon May 19 17:55:53 MSK 2025","","test_logos","",""
"","4174","test_accordion_questions[5]","tests","Mon May 19 17:55:06 MSK 2025","passed","Mon May 19 17:55:10 MSK 2025","","test_accordion","",""
